,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,EVENT
0,T17,Lucas Glover,4,82.14,46,56,The Masters
1,,Jason Kokrak,4,82.14,46,56,The Masters
2,,Shane Lowry,4,82.14,46,56,The Masters
3,,Kevin Na,4,82.14,46,56,The Masters
4,T9,J.J. Spaun,4,80.36,45,56,The Masters
5,,Bubba Watson,4,80.36,45,56,The Masters
6,,Russell Henley,4,78.57,44,56,The Masters
7,,Christiaan Bezuidenhout,4,76.79,43,56,The Masters
8,,Matt Fitzpatrick,4,76.79,43,56,The Masters
9,,Sungjae Im,4,76.79,43,56,The Masters
10,,Collin Morikawa,4,76.79,43,56,The Masters
11,,Scottie Scheffler,4,76.79,43,56,The Masters
12,,Webb Simpson,4,76.79,43,56,The Masters
13,,Patrick Cantlay,4,75.0,42,56,The Masters
14,,Talor Gooch,4,75.0,42,56,The Masters
15,,Tom Hoge,4,75.0,42,56,The Masters
16,,Billy Horschel,4,75.0,42,56,The Masters
17,,Patrick Reed,4,75.0,42,56,The Masters
18,,Cameron Champ,4,73.21,41,56,The Masters
19,T23,Corey Conners,4,73.21,41,56,The Masters
20,,Tommy Fleetwood,4,73.21,41,56,The Masters
21,,Harry Higgs,4,73.21,41,56,The Masters
22,,Max Homa,4,73.21,41,56,The Masters
23,,Viktor Hovland,4,73.21,41,56,The Masters
24,T12,Si Woo Kim,4,73.21,41,56,The Masters
25,T42,Robert MacIntyre,4,73.21,41,56,The Masters
26,,Hideki Matsuyama,4,73.21,41,56,The Masters
27,,Seamus Power,4,73.21,41,56,The Masters
28,,Jon Rahm,4,73.21,41,56,The Masters
29,T23,Hudson Swafford,4,73.21,41,56,The Masters
30,T34,Tony Finau,4,71.43,40,56,The Masters
31,,Min Woo Lee,4,71.43,40,56,The Masters
32,,Harold Varner III,4,71.43,40,56,The Masters
33,,Cam Davis,4,69.64,39,56,The Masters
34,,Marc Leishman,4,69.64,39,56,The Masters
35,,Charl Schwartzel,4,69.64,39,56,The Masters
36,,Will Zalatoris,4,69.64,39,56,The Masters
37,,Daniel Berger,4,67.86,38,56,The Masters
38,,Mackenzie Hughes,4,67.86,38,56,The Masters
39,,Kevin Kisner,4,67.86,38,56,The Masters
40,,Rory McIlroy,4,67.86,38,56,The Masters
41,,Lee Westwood,4,67.86,38,56,The Masters
42,,Tiger Woods,4,67.86,38,56,The Masters
43,,Dustin Johnson,4,66.07,37,56,The Masters
44,,Joaquin Niemann,4,66.07,37,56,The Masters
45,,Cameron Smith,4,66.07,37,56,The Masters
46,,Danny Willett,4,66.07,37,56,The Masters
47,,Adam Scott,4,62.5,35,56,The Masters
48,,Sepp Straka,4,62.5,35,56,The Masters
49,,Sergio Garcia,4,60.71,34,56,The Masters
50,,Tyrrell Hatton,4,60.71,34,56,The Masters
51,,Justin Thomas,4,57.14,32,56,The Masters
0,,Joohyung Kim,4,73.21,41,56,U.S. Open
1,,K.H. Lee,4,73.21,41,56,U.S. Open
2,,Joel Dahmen,4,71.43,40,56,U.S. Open
3,,Gary Woodland,4,71.43,40,56,U.S. Open
4,T34,Matt Fitzpatrick,4,69.64,39,56,U.S. Open
5,,Sam Bennett,4,67.86,38,56,U.S. Open
6,T34,Scottie Scheffler,4,67.86,38,56,U.S. Open
7,,Denny McCarthy,4,66.07,37,56,U.S. Open
8,,Cameron Tringale,4,64.29,36,56,U.S. Open
9,T19,Adam Hadwin,4,62.5,35,56,U.S. Open
10,,Brian Harman,4,62.5,35,56,U.S. Open
