,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,EVENT
0,,Scottie Scheffler,1,"$2,700,000",The Masters
1,,Rory McIlroy,1,"$1,620,000",The Masters
2,,Shane Lowry,1,"$870,000",The Masters
3,,Cameron Smith,1,"$870,000",The Masters
4,,Collin Morikawa,1,"$600,000",The Masters
5,T33,Corey Conners,1,"$521,250",The Masters
6,,Will Zalatoris,1,"$521,250",The Masters
7,,Sungjae Im,1,"$450,000",The Masters
8,,Justin Thomas,1,"$450,000",The Masters
9,,Cameron Champ,1,"$390,000",The Masters
10,,Charl Schwartzel,1,"$390,000",The Masters
11,,Dustin Johnson,1,"$330,000",The Masters
12,,Danny Willett,1,"$330,000",The Masters
13,,Matt Fitzpatrick,1,"$225,333",The Masters
14,,Tommy Fleetwood,1,"$225,333",The Masters
15,,Talor Gooch,1,"$225,333",The Masters
16,,Harry Higgs,1,"$225,333",The Masters
17,,Jason Kokrak,1,"$225,333",The Masters
18,,Hideki Matsuyama,1,"$225,333",The Masters
19,,Kevin Na,1,"$225,333",The Masters
20,,Lee Westwood,1,"$225,333",The Masters
21,,Sergio Garcia,1,"$138,000",The Masters
22,1,J.J. Spaun,1,"$138,000",The Masters
23,,Harold Varner III,1,"$138,000",The Masters
24,,Viktor Hovland,1,"$111,000",The Masters
25,,Seamus Power,1,"$111,000",The Masters
26,,Jon Rahm,1,"$111,000",The Masters
27,T18,Lucas Glover,1,"$93,150",The Masters
28,,Russell Henley,1,"$93,150",The Masters
29,,Marc Leishman,1,"$93,150",The Masters
30,,Sepp Straka,1,"$93,150",The Masters
31,T55,Hudson Swafford,1,"$93,150",The Masters
32,T28,Tony Finau,1,"$75,563",The Masters
33,,Joaquin Niemann,1,"$75,563",The Masters
34,,Patrick Reed,1,"$75,563",The Masters
35,,Webb Simpson,1,"$75,563",The Masters
36,,Patrick Cantlay,1,"$63,000",The Masters
37,,Tom Hoge,1,"$63,000",The Masters
38,T13,Si Woo Kim,1,"$63,000",The Masters
39,,Bubba Watson,1,"$63,000",The Masters
40,,Billy Horschel,1,"$55,500",The Masters
41,,Christiaan Bezuidenhout,1,"$51,000",The Masters
42,,Kevin Kisner,1,"$51,000",The Masters
43,,Cam Davis,1,"$46,500",The Masters
44,,Tiger Woods,1,"$43,500",The Masters
45,,Max Homa,1,"$40,050",The Masters
46,,Adam Scott,1,"$40,050",The Masters
47,,Daniel Berger,1,"$37,350",The Masters
48,,Mackenzie Hughes,1,"$37,350",The Masters
49,,Tyrrell Hatton,1,"$36,000",The Masters
0,T10,Matt Fitzpatrick,1,"$3,150,000",U.S. Open
1,T18,Scottie Scheffler,1,"$1,557,687",U.S. Open
2,,Will Zalatoris,1,"$1,557,687",U.S. Open
3,,Hideki Matsuyama,1,"$859,032",U.S. Open
4,1,Rory McIlroy,1,"$674,953",U.S. Open
5,,Collin Morikawa,1,"$674,953",U.S. Open
6,,Keegan Bradley,1,"$515,934",U.S. Open
7,T35,Adam Hadwin,1,"$515,934",U.S. Open
8,,Denny McCarthy,1,"$515,934",U.S. Open
9,,Joel Dahmen,1,"$407,220",U.S. Open
10,,Gary Woodland,1,"$407,220",U.S. Open
11,,Seamus Power,1,"$347,058",U.S. Open
12,,Jon Rahm,1,"$347,058",U.S. Open
13,,Hayden Buckley,1,"$241,302",U.S. Open
14,,Patrick Cantlay,1,"$241,302",U.S. Open
15,T35,Nick Hardy,1,"$241,302",U.S. Open
16,,Marc Leishman,1,"$241,302",U.S. Open
17,T25,Sebastián Muñoz,1,"$241,302",U.S. Open
18,,Xander Schauffele,1,"$241,302",U.S. Open
19,,Adam Scott,1,"$241,302",U.S. Open
20,,Cameron Tringale,1,"$241,302",U.S. Open
21,T28,Mackenzie Hughes,1,"$150,849",U.S. Open
22,,Adam Schenk,1,"$150,849",U.S. Open
23,T4,Sam Burns,1,"$127,002",U.S. Open
24,,Aaron Wise,1,"$127,002",U.S. Open
25,,Andrew Putnam,1,"$100,331",U.S. Open
26,,Davis Riley,1,"$100,331",U.S. Open
27,T18,Patrick Rodgers,1,"$100,331",U.S. Open
28,,Callum Tarren,1,"$100,331",U.S. Open
29,,Joseph Bramlett,1,"$75,916",U.S. Open
30,,K.H. Lee,1,"$75,916",U.S. Open
31,,Matthew NeSmith,1,"$75,916",U.S. Open
32,T4,Justin Rose,1,"$75,916",U.S. Open
33,,Jordan Spieth,1,"$75,916",U.S. Open
34,3,Justin Thomas,1,"$75,916",U.S. Open
35,,Brian Harman,1,"$59,332",U.S. Open
36,,Max Homa,1,"$50,672",U.S. Open
37,,Joaquin Niemann,1,"$50,672",U.S. Open
38,,David Lingmerth,1,"$44,038",U.S. Open
39,,Beau Hossler,1,"$40,630",U.S. Open
40,,Brooks Koepka,1,"$39,432",U.S. Open
41,,Bryson DeChambeau,1,"$38,511",U.S. Open
42,,Tyrrell Hatton,1,"$38,511",U.S. Open
43,,Harris English,1,"$37,221",U.S. Open
44,,Grayson Murray,1,"$36,843",U.S. Open
0,,Billy Horschel,1,"$2,160,000",The Memorial Tournament
1,,Aaron Wise,1,"$1,308,000",The Memorial Tournament
2,,Patrick Cantlay,1,"$708,000",The Memorial Tournament
3,,Joaquin Niemann,1,"$708,000",The Memorial Tournament
4,T23,Daniel Berger,1,"$411,600",The Memorial Tournament
5,T23,Max Homa,1,"$411,600",The Memorial Tournament
6,T27,Denny McCarthy,1,"$411,600",The Memorial Tournament
7,T57,Sahith Theegala,1,"$411,600",The Memorial Tournament
8,,Will Zalatoris,1,"$411,600",The Memorial Tournament
9,T15,Sungjae Im,1,"$303,000",The Memorial Tournament
10,,Jon Rahm,1,"$303,000",The Memorial Tournament
11,,Brendan Steele,1,"$303,000",The Memorial Tournament
12,,Corey Conners,1,"$221,400",The Memorial Tournament
13,,Si Woo Kim,1,"$221,400",The Memorial Tournament
14,T7,Mito Pereira,1,"$221,400",The Memorial Tournament
15,T4,Davis Riley,1,"$221,400",The Memorial Tournament
16,,Cameron Smith,1,"$221,400",The Memorial Tournament
17,,Adam Hadwin,1,"$142,800",The Memorial Tournament
18,,Brian Harman,1,"$142,800",The Memorial Tournament
19,,Garrick Higgo,1,"$142,800",The Memorial Tournament
20,,Charles Howell III,1,"$142,800",The Memorial Tournament
21,,Rory McIlroy,1,"$142,800",The Memorial Tournament
22,,Keith Mitchell,1,"$142,800",The Memorial Tournament
23,,Xander Schauffele,1,"$142,800",The Memorial Tournament
24,T7,Jordan Spieth,1,"$142,800",The Memorial Tournament
25,,Luke List,1,"$89,400",The Memorial Tournament
26,,Francesco Molinari,1,"$89,400",The Memorial Tournament
27,T12,Pat Perez,1,"$89,400",The Memorial Tournament
28,68,Aaron Rai,1,"$89,400",The Memorial Tournament
29,,Adam Schenk,1,"$89,400",The Memorial Tournament
30,,Jason Day,1,"$78,600",The Memorial Tournament
31,,Abraham Ancer,1,"$68,520",The Memorial Tournament
32,T63,Joel Dahmen,1,"$68,520",The Memorial Tournament
33,T63,Emiliano Grillo,1,"$68,520",The Memorial Tournament
34,T21,Beau Hossler,1,"$68,520",The Memorial Tournament
35,,Shane Lowry,1,"$68,520",The Memorial Tournament
36,,Keegan Bradley,1,"$51,000",The Memorial Tournament
37,,Wyndham Clark,1,"$51,000",The Memorial Tournament
