RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL HOLES,YEAR
T1,T1,Bryson DeChambeau,83.0,4.45,1167.0,262.0,2021.0
T1,T1,Cameron Smith,89.0,4.45,1185.0,266.0,2021.0
T3,T1,Jon Rahm,86.0,4.46,1203.0,270.0,2021.0
T3,T1,Xander Schauffele,83.0,4.46,1142.0,256.0,2021.0
5,5,Harris English,95.0,4.49,1310.0,292.0,2021.0
6,6,Webb Simpson,77.0,4.51,1065.0,236.0,2021.0
T7,T13,Patrick Cantlay,85.0,4.52,1176.0,260.0,2021.0
T7,T7,Sergio Garcia,79.0,4.52,1049.0,232.0,2021.0
T7,T9,Brooks Koepka,66.0,4.52,959.0,212.0,2021.0
T7,T7,Ryan Palmer,81.0,4.52,1158.0,256.0,2021.0
T11,T9,Sam Burns,88.0,4.53,1258.0,278.0,2021.0
T11,T9,Will Zalatoris,90.0,4.53,1296.0,286.0,2021.0
T13,T17,Daniel Berger,87.0,4.54,1227.0,270.0,2021.0
T13,T13,Brian Harman,105.0,4.54,1415.0,312.0,2021.0
T13,T13,Max Homa,93.0,4.54,1316.0,290.0,2021.0
T13,T9,Viktor Hovland,90.0,4.54,1285.0,283.0,2021.0
T13,T26,Dustin Johnson,75.0,4.54,1017.0,224.0,2021.0
T13,T17,Hideki Matsuyama,96.0,4.54,1454.0,320.0,2021.0
T13,T13,Joaquin Niemann,105.0,4.54,1443.0,318.0,2021.0
T13,T17,Louis Oosthuizen,81.0,4.54,1118.0,246.0,2021.0
T21,T17,Jason Kokrak,95.0,4.55,1328.0,292.0,2021.0
T21,T17,Anirban Lahiri,68.0,4.55,1038.0,228.0,2021.0
T21,T17,Luke List,91.0,4.55,1365.0,300.0,2021.0
T21,T26,Collin Morikawa,83.0,4.55,1165.0,256.0,2021.0
T21,T17,Carlos Ortiz,95.0,4.55,1401.0,308.0,2021.0
T21,T17,Scottie Scheffler,109.0,4.55,1538.0,338.0,2021.0
T21,T17,Jordan Spieth,92.0,4.55,1375.0,302.0,2021.0
T28,T26,Hank Lebioda,74.0,4.56,1104.0,242.0,2021.0
T28,T26,Justin Thomas,87.0,4.56,1267.0,278.0,2021.0
T30,T30,Keegan Bradley,90.0,4.57,1306.0,286.0,2021.0
T30,T30,Paul Casey,75.0,4.57,1134.0,248.0,2021.0
T30,T30,Sungjae Im,127.0,4.57,1846.0,404.0,2021.0
T30,T30,Patton Kizzire,102.0,4.57,1545.0,338.0,2021.0
T30,T30,Vince Whaley,88.0,4.57,1260.0,276.0,2021.0
T35,T39,Tony Finau,97.0,4.58,1356.0,296.0,2021.0
T35,T35,Talor Gooch,97.0,4.58,1383.0,302.0,2021.0
T35,T50,Rory McIlroy,77.0,4.58,1145.0,250.0,2021.0
T35,T39,Patrick Reed,81.0,4.58,1209.0,264.0,2021.0
T35,T35,Josh Teater,54.0,4.58,779.0,170.0,2021.0
T35,T35,Cameron Tringale,94.0,4.58,1401.0,306.0,2021.0
T35,T35,Kevin Tway,68.0,4.58,915.0,200.0,2021.0
T42,T39,Ryan Brehm,62.0,4.59,918.0,200.0,2021.0
T42,T39,Charles Howell III,70.0,4.59,1084.0,236.0,2021.0
T42,T39,Si Woo Kim,97.0,4.59,1469.0,320.0,2021.0
T42,T39,Seamus Power,58.0,4.59,881.0,192.0,2021.0
T42,T39,Brandt Snedeker,90.0,4.59,1267.0,276.0,2021.0
T42,T39,Sepp Straka,100.0,4.59,1396.0,304.0,2021.0
T42,T39,Matt Wallace,60.0,4.59,767.0,167.0,2021.0
T42,T39,Aaron Wise,82.0,4.59,1203.0,262.0,2021.0
T42,T39,Matthew Wolff,60.0,4.59,817.0,178.0,2021.0
T51,T50,Abraham Ancer,101.0,4.6,1473.0,320.0,2021.0
T51,T50,Corey Conners,107.0,4.6,1611.0,350.0,2021.0
T51,T50,Matt Fitzpatrick,69.0,4.6,1049.0,228.0,2021.0
T51,T50,Bill Haas,50.0,4.6,709.0,154.0,2021.0
T51,T62,Billy Horschel,97.0,4.6,1296.0,282.0,2021.0
T51,T50,Marc Leishman,83.0,4.6,1206.0,262.0,2021.0
T51,T50,Kevin Na,90.0,4.6,1288.0,280.0,2021.0
T51,T50,Matthew NeSmith,90.0,4.6,1325.0,288.0,2021.0
T51,T50,Patrick Rodgers,106.0,4.6,1590.0,346.0,2021.0
T51,T50,Hudson Swafford,82.0,4.6,1251.0,272.0,2021.0
T51,T50,Jhonattan Vegas,90.0,4.6,1344.0,292.0,2021.0
T51,T50,Bubba Watson,77.0,4.6,1085.0,236.0,2021.0
T63,T62,Stewart Cink,90.0,4.61,1291.0,280.0,2021.0
T63,T62,Lanto Griffin,95.0,4.61,1402.0,304.0,2021.0
T63,T62,Harry Higgs,82.0,4.61,1235.0,268.0,2021.0
T63,T62,Bo Hoag,93.0,4.61,1370.0,297.0,2021.0
T63,T62,Mackenzie Hughes,94.0,4.61,1345.0,292.0,2021.0
T63,T62,Ben Martin,54.0,4.61,820.0,178.0,2021.0
T63,T62,Sebastián Muñoz,105.0,4.61,1585.0,344.0,2021.0
T63,T62,Alex Noren,86.0,4.61,1319.0,286.0,2021.0
T63,T62,Sean O'Hair,55.0,4.61,783.0,170.0,2021.0
T63,T62,Rob Oppenheim,80.0,4.61,1152.0,250.0,2021.0
T63,T62,Justin Rose,58.0,4.61,793.0,172.0,2021.0
T63,T62,Adam Schenk,110.0,4.61,1558.0,338.0,2021.0
T63,T62,Roger Sloan,88.0,4.61,1262.0,274.0,2021.0
T63,T62,Danny Willett,51.0,4.61,760.0,165.0,2021.0
T77,T77,Cam Davis,94.0,4.62,1431.0,310.0,2021.0
T77,T77,Charley Hoffman,103.0,4.62,1534.0,332.0,2021.0
T77,T77,Matt Jones,104.0,4.62,1477.0,320.0,2021.0
T77,T77,Tyler McCumber,70.0,4.62,1025.0,222.0,2021.0
T77,T77,Pat Perez,104.0,4.62,1479.0,320.0,2021.0
T77,T77,Charl Schwartzel,90.0,4.62,1413.0,306.0,2021.0
T83,T83,Mark Anderson,62.0,4.63,916.0,198.0,2021.0
T83,T83,Joseph Bramlett,84.0,4.63,1258.0,272.0,2021.0
T83,T83,Brice Garnett,100.0,4.63,1351.0,292.0,2021.0
T83,T83,Beau Hossler,92.0,4.63,1370.0,296.0,2021.0
T83,T83,Cameron Percy,85.0,4.63,1232.0,266.0,2021.0
T83,T83,J.T. Poston,87.0,4.63,1287.0,278.0,2021.0
T83,T83,Andrew Putnam,95.0,4.63,1343.0,290.0,2021.0
T83,T83,Ben Taylor,56.0,4.63,796.0,172.0,2021.0
T83,T83,Brendon Todd,93.0,4.63,1277.0,276.0,2021.0
T83,T83,D.J. Trahan,70.0,4.63,1037.0,224.0,2021.0
T83,T94,Erik van Rooyen,85.0,4.63,1064.0,230.0,2021.0
T94,T94,Wyndham Clark,84.0,4.64,1179.0,254.0,2021.0
T94,T94,Jason Day,68.0,4.64,1048.0,226.0,2021.0
T94,T94,Michael Gligic,88.0,4.64,1254.0,270.0,2021.0
T94,T94,Emiliano Grillo,100.0,4.64,1477.0,318.0,2021.0
T94,T94,Russell Henley,87.0,4.64,1206.0,260.0,2021.0
T94,T94,Tom Hoge,100.0,4.64,1531.0,330.0,2021.0
T94,T94,Martin Laird,82.0,4.64,1328.0,286.0,2021.0
T94,T94,K.H. Lee,110.0,4.64,1615.0,348.0,2021.0
T94,T94,Maverick McNealy,84.0,4.64,1188.0,256.0,2021.0
T94,T94,Keith Mitchell,88.0,4.64,1224.0,264.0,2021.0
T94,T94,Scott Piercy,85.0,4.64,1151.0,248.0,2021.0
T94,T94,Adam Scott,72.0,4.64,1011.0,218.0,2021.0
T94,T94,J.J. Spaun,76.0,4.64,1132.0,244.0,2021.0
T94,T94,Kevin Streelman,102.0,4.64,1429.0,308.0,2021.0
T108,T109,Aaron Baddeley,60.0,4.65,855.0,184.0,2021.0
T108,T109,Scott Brown,84.0,4.65,1266.0,272.0,2021.0
T108,T109,Doug Ghim,90.0,4.65,1331.0,286.0,2021.0
T108,T109,Branden Grace,87.0,4.65,1265.0,272.0,2021.0
T108,T109,Jim Herman,66.0,4.65,996.0,214.0,2021.0
T108,T109,Mark Hubbard,102.0,4.65,1440.0,310.0,2021.0
T108,T109,"Ted Potter, Jr.",68.0,4.65,1060.0,228.0,2021.0
T108,T109,Sam Ryder,94.0,4.65,1310.0,282.0,2021.0
T108,T109,Scott Stallings,84.0,4.65,1152.0,248.0,2021.0
T108,T109,Kris Ventura,78.0,4.65,1134.0,244.0,2021.0
T108,T109,Richy Werenski,94.0,4.65,1349.0,290.0,2021.0
T119,T121,Rafael Campos,64.0,4.66,941.0,202.0,2021.0
T119,T121,Cameron Champ,79.0,4.66,1257.0,270.0,2021.0
T119,T121,Brian Gay,72.0,4.66,1044.0,224.0,2021.0
T119,T121,Will Gordon,92.0,4.66,1370.0,294.0,2021.0
T119,T121,Nate Lashley,78.0,4.66,1109.0,238.0,2021.0
T119,T121,Nelson Ledesma,54.0,4.66,783.0,168.0,2021.0
T119,T121,Tom Lewis,88.0,4.66,1239.0,266.0,2021.0
T119,T121,Peter Malnati,84.0,4.66,1193.0,256.0,2021.0
T119,T121,Denny McCarthy,94.0,4.66,1454.0,312.0,2021.0
T119,T121,Ian Poulter,76.0,4.66,1043.0,224.0,2021.0
T119,T121,Robert Streb,84.0,4.66,1194.0,256.0,2021.0
T119,T121,Brian Stuard,108.0,4.66,1567.0,336.0,2021.0
T119,T121,Vaughn Taylor,81.0,4.66,1225.0,263.0,2021.0
T132,T134,Ryan Armour,80.0,4.67,1187.0,254.0,2021.0
T132,T134,James Hahn,72.0,4.67,1084.0,232.0,2021.0
T132,T134,J.B. Holmes,50.0,4.67,752.0,161.0,2021.0
T132,T134,John Huh,62.0,4.67,878.0,188.0,2021.0
T132,T134,Shane Lowry,79.0,4.67,1148.0,246.0,2021.0
T132,T134,Nick Taylor,94.0,4.67,1438.0,308.0,2021.0
T132,T134,Bo Van Pelt,78.0,4.67,1130.0,242.0,2021.0
T132,T134,Camilo Villegas,81.0,4.67,1159.0,248.0,2021.0
T132,T134,Gary Woodland,74.0,4.67,1112.0,238.0,2021.0
T141,T143,Sebastian Cappelen,60.0,4.68,879.0,188.0,2021.0
T141,T143,Tyler Duncan,98.0,4.68,1442.0,308.0,2021.0
T141,T143,Tommy Fleetwood,65.0,4.68,917.0,196.0,2021.0
T141,T143,Lucas Glover,98.0,4.68,1460.0,312.0,2021.0
T141,T143,Tyrrell Hatton,63.0,4.68,889.0,190.0,2021.0
T141,T143,Henrik Norlander,88.0,4.68,1320.0,282.0,2021.0
T141,T143,Chase Seiffert,84.0,4.68,1216.0,260.0,2021.0
