RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL HOLES,YEAR
T1,T1,Patrick Cantlay,85.0,3.95,3285.0,832.0,2021.0
T1,T1,Seamus Power,58.0,3.95,2452.0,620.0,2021.0
T3,T3,Abraham Ancer,101.0,3.96,4154.0,1048.0,2021.0
T3,T3,Daniel Berger,87.0,3.96,3588.0,906.0,2021.0
T3,T3,Emiliano Grillo,100.0,3.96,4044.0,1022.0,2021.0
T3,T3,Chris Kirk,90.0,3.96,3645.0,920.0,2021.0
T3,T8,Jon Rahm,86.0,3.96,3201.0,808.0,2021.0
T3,T3,Webb Simpson,77.0,3.96,3171.0,800.0,2021.0
T9,T8,Doug Ghim,90.0,3.97,3641.0,916.0,2021.0
T9,T8,Russell Henley,87.0,3.97,3596.0,906.0,2021.0
T9,T8,Justin Thomas,87.0,3.97,3546.0,894.0,2021.0
T12,T8,Sam Burns,88.0,3.98,3540.0,890.0,2021.0
T12,T15,James Hahn,72.0,3.98,2953.0,742.0,2021.0
T12,T19,Viktor Hovland,90.0,3.98,3469.0,871.0,2021.0
T12,T15,Charles Howell III,70.0,3.98,2945.0,740.0,2021.0
T12,T8,Collin Morikawa,83.0,3.98,3326.0,836.0,2021.0
T12,T19,Kevin Na,90.0,3.98,3714.0,934.0,2021.0
T12,T8,Louis Oosthuizen,81.0,3.98,3127.0,786.0,2021.0
T12,T15,Scottie Scheffler,109.0,3.98,4083.0,1026.0,2021.0
T12,T15,Cameron Tringale,94.0,3.98,3877.0,974.0,2021.0
T21,T19,Ryan Armour,80.0,3.99,3328.0,834.0,2021.0
T21,T19,Corey Conners,107.0,3.99,4366.0,1094.0,2021.0
T21,T34,Bryson DeChambeau,83.0,3.99,3443.0,862.0,2021.0
T21,T19,Tony Finau,97.0,3.99,3835.0,960.0,2021.0
T21,T34,Sergio Garcia,79.0,3.99,3219.0,806.0,2021.0
T21,T19,Tyrrell Hatton,63.0,3.99,2341.0,586.0,2021.0
T21,T19,Sungjae Im,127.0,3.99,5175.0,1296.0,2021.0
T21,T19,Dustin Johnson,75.0,3.99,3114.0,780.0,2021.0
T21,T19,Si Woo Kim,97.0,3.99,3969.0,994.0,2021.0
