RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL HOLES,YEAR
T1,T1,Stewart Cink,90.0,2.96,1060.0,358.0,2021.0
T1,T1,Jon Rahm,86.0,2.96,912.0,308.0,2021.0
3,T3,Cameron Percy,85.0,2.97,920.0,310.0,2021.0
T4,T3,Daniel Berger,87.0,2.98,1002.0,336.0,2021.0
T4,6,Mark Hubbard,102.0,2.98,1176.0,394.0,2021.0
T6,T7,Zach Johnson,84.0,2.99,1029.0,344.0,2021.0
T6,T7,Jason Kokrak,95.0,2.99,1063.0,356.0,2021.0
T6,T7,Joaquin Niemann,105.0,2.99,1232.0,412.0,2021.0
T6,T7,Justin Rose,58.0,2.99,664.0,222.0,2021.0
T6,T7,Webb Simpson,77.0,2.99,884.0,296.0,2021.0
T6,T3,Cameron Smith,89.0,2.99,982.0,328.0,2021.0
T6,T7,Ben Taylor,56.0,2.99,598.0,200.0,2021.0
T6,T7,Harold Varner III,96.0,2.99,1088.0,364.0,2021.0
T14,T14,Abraham Ancer,101.0,3.0,1187.0,396.0,2021.0
T14,T14,Charley Hoffman,103.0,3.0,1212.0,404.0,2021.0
T14,T14,Alex Noren,86.0,3.0,1014.0,338.0,2021.0
T17,T17,Corey Conners,107.0,3.01,1290.0,428.0,2021.0
T17,T17,Harris English,95.0,3.01,1106.0,368.0,2021.0
T17,T17,Tony Finau,97.0,3.01,1094.0,364.0,2021.0
T17,T17,Dustin Johnson,75.0,3.01,880.0,292.0,2021.0
T17,T17,Patton Kizzire,102.0,3.01,1253.0,416.0,2021.0
T22,T22,Mark Anderson,62.0,3.02,676.0,224.0,2021.0
T22,T22,Bronson Burgoon,76.0,3.02,889.0,294.0,2021.0
T22,T22,Doug Ghim,90.0,3.02,1046.0,346.0,2021.0
T22,T22,Adam Hadwin,90.0,3.02,1080.0,358.0,2021.0
T22,T22,Russell Henley,87.0,3.02,1046.0,346.0,2021.0
T22,T22,Sungjae Im,127.0,3.02,1497.0,496.0,2021.0
T22,T22,Chris Kirk,90.0,3.02,1056.0,350.0,2021.0
T22,T22,Luke List,91.0,3.02,1087.0,360.0,2021.0
T22,T22,Pat Perez,104.0,3.02,1176.0,390.0,2021.0
T22,T22,Kyle Stanley,96.0,3.02,1101.0,364.0,2021.0
T22,T34,Justin Thomas,87.0,3.02,1028.0,340.0,2021.0
T33,T34,Paul Casey,75.0,3.03,896.0,296.0,2021.0
T33,T34,K.J. Choi,54.0,3.03,636.0,210.0,2021.0
T33,T22,Bryson DeChambeau,83.0,3.03,956.0,316.0,2021.0
T33,T34,Brice Garnett,100.0,3.03,1127.0,372.0,2021.0
T33,T34,Brian Harman,105.0,3.03,1235.0,408.0,2021.0
T33,T34,Michael Kim,75.0,3.03,847.0,280.0,2021.0
T33,T34,Satoshi Kodaira,80.0,3.03,950.0,314.0,2021.0
T33,T34,Nate Lashley,78.0,3.03,934.0,308.0,2021.0
T33,T34,Marc Leishman,83.0,3.03,922.0,304.0,2021.0
T33,T34,Maverick McNealy,84.0,3.03,958.0,316.0,2021.0
T33,T34,Troy Merritt,104.0,3.03,1212.0,400.0,2021.0
T33,T22,Collin Morikawa,83.0,3.03,945.0,312.0,2021.0
T33,T34,Xander Schauffele,83.0,3.03,920.0,304.0,2021.0
T33,T34,Adam Scott,72.0,3.03,872.0,288.0,2021.0
T33,T34,Kevin Streelman,102.0,3.03,1189.0,392.0,2021.0
T33,T34,Aaron Wise,82.0,3.03,981.0,324.0,2021.0
T33,T34,Will Zalatoris,90.0,3.03,1056.0,348.0,2021.0
T50,T50,Luke Donald,58.0,3.04,699.0,230.0,2021.0
T50,T50,Lanto Griffin,95.0,3.04,1113.0,366.0,2021.0
T50,T50,Emiliano Grillo,100.0,3.04,1178.0,388.0,2021.0
T50,T50,James Hahn,72.0,3.04,869.0,286.0,2021.0
T50,T50,John Huh,62.0,3.04,724.0,238.0,2021.0
T50,T50,Russell Knox,96.0,3.04,1144.0,376.0,2021.0
T50,T50,Brooks Koepka,66.0,3.04,816.0,268.0,2021.0
T50,T50,Andrew Landry,72.0,3.04,814.0,268.0,2021.0
T50,T50,Hank Lebioda,74.0,3.04,888.0,292.0,2021.0
T50,T50,Sebastián Muñoz,105.0,3.04,1240.0,408.0,2021.0
T50,T50,Doc Redman,84.0,3.04,947.0,312.0,2021.0
T50,T50,Scott Stallings,84.0,3.04,941.0,310.0,2021.0
T50,T50,Brendan Steele,82.0,3.04,936.0,308.0,2021.0
T50,T50,Cameron Tringale,94.0,3.04,1143.0,376.0,2021.0
T64,T65,Keegan Bradley,90.0,3.05,1066.0,350.0,2021.0
T64,T65,Sam Burns,88.0,3.05,1049.0,344.0,2021.0
T64,T65,Patrick Cantlay,85.0,3.05,952.0,312.0,2021.0
T64,T65,Joel Dahmen,88.0,3.05,1013.0,332.0,2021.0
T64,T65,Fabián Gómez,60.0,3.05,672.0,220.0,2021.0
T64,T65,Talor Gooch,97.0,3.05,1129.0,370.0,2021.0
T64,T65,Mackenzie Hughes,94.0,3.05,1118.0,366.0,2021.0
T64,T65,Danny Lee,61.0,3.05,751.0,246.0,2021.0
T64,T65,Shane Lowry,79.0,3.05,939.0,308.0,2021.0
T64,T50,Hideki Matsuyama,96.0,3.05,1145.0,376.0,2021.0
T64,T65,Sean O'Hair,55.0,3.05,640.0,210.0,2021.0
T64,T83,Louis Oosthuizen,81.0,3.05,914.0,300.0,2021.0
T64,T65,Scott Piercy,85.0,3.05,983.0,322.0,2021.0
T64,T65,Andrew Putnam,95.0,3.05,1097.0,360.0,2021.0
T64,T65,Scottie Scheffler,109.0,3.05,1220.0,400.0,2021.0
T64,T65,Adam Schenk,110.0,3.05,1262.0,414.0,2021.0
T64,T65,Sepp Straka,100.0,3.05,1182.0,388.0,2021.0
T64,T65,Brian Stuard,108.0,3.05,1289.0,422.0,2021.0
T82,T83,Ryan Armour,80.0,3.06,966.0,316.0,2021.0
T82,T83,Jason Day,68.0,3.06,819.0,268.0,2021.0
T82,T83,Jason Dufner,88.0,3.06,1070.0,350.0,2021.0
T82,T83,Sergio Garcia,79.0,3.06,901.0,294.0,2021.0
T82,T83,Tyrrell Hatton,63.0,3.06,710.0,232.0,2021.0
T82,T83,David Hearn,68.0,3.06,795.0,260.0,2021.0
T82,T83,Viktor Hovland,90.0,3.06,1040.0,340.0,2021.0
T82,T83,Kevin Kisner,83.0,3.06,961.0,314.0,2021.0
T82,T83,Rory McIlroy,77.0,3.06,918.0,300.0,2021.0
T82,T100,Kevin Na,90.0,3.06,1076.0,352.0,2021.0
T82,T83,Ian Poulter,76.0,3.06,894.0,292.0,2021.0
T82,T83,Seamus Power,58.0,3.06,710.0,232.0,2021.0
T82,T65,Patrick Reed,81.0,3.06,961.0,314.0,2021.0
T82,T83,Sam Ryder,94.0,3.06,1065.0,348.0,2021.0
T82,T65,Jordan Spieth,92.0,3.06,1097.0,358.0,2021.0
T82,T83,Nick Taylor,94.0,3.06,1109.0,362.0,2021.0
T82,T83,Jhonattan Vegas,90.0,3.06,1102.0,360.0,2021.0
T82,T83,Xinjun Zhang,72.0,3.06,844.0,276.0,2021.0
T100,T100,Michael Gligic,88.0,3.07,994.0,324.0,2021.0
T100,T100,Lucas Glover,98.0,3.07,1196.0,390.0,2021.0
T100,T100,Chesson Hadley,78.0,3.07,890.0,290.0,2021.0
T100,T100,Harry Higgs,82.0,3.07,994.0,324.0,2021.0
T100,T100,Tom Hoge,100.0,3.07,1204.0,392.0,2021.0
T100,T100,Max Homa,93.0,3.07,1081.0,352.0,2021.0
T100,T100,Martin Laird,82.0,3.07,982.0,320.0,2021.0
T100,T100,Denny McCarthy,94.0,3.07,1178.0,384.0,2021.0
T100,T100,Henrik Norlander,88.0,3.07,1051.0,342.0,2021.0
T100,T100,C.T. Pan,82.0,3.07,996.0,324.0,2021.0
T100,T100,Patrick Rodgers,106.0,3.07,1264.0,412.0,2021.0
T100,T100,Roger Sloan,88.0,3.07,1014.0,330.0,2021.0
T100,T100,Robert Streb,84.0,3.07,996.0,324.0,2021.0
T100,T100,Vaughn Taylor,81.0,3.07,976.0,318.0,2021.0
T100,T100,Michael Thompson,80.0,3.07,921.0,300.0,2021.0
T100,T100,Gary Woodland,74.0,3.07,865.0,282.0,2021.0
T116,T117,Aaron Baddeley,60.0,3.08,671.0,218.0,2021.0
T116,T117,Scott Brown,84.0,3.08,1009.0,328.0,2021.0
T116,T117,Wyndham Clark,84.0,3.08,980.0,318.0,2021.0
T116,T117,Cam Davis,94.0,3.08,1176.0,382.0,2021.0
T116,T117,Rhein Gibson,62.0,3.08,695.0,226.0,2021.0
T116,T117,Will Gordon,92.0,3.08,1096.0,356.0,2021.0
T116,T117,Bo Hoag,93.0,3.08,1084.0,352.0,2021.0
T116,T117,Billy Horschel,97.0,3.08,1058.0,344.0,2021.0
T116,T117,Carlos Ortiz,95.0,3.08,1145.0,372.0,2021.0
T116,T117,J.J. Spaun,76.0,3.08,892.0,290.0,2021.0
T116,T117,Brendon Todd,93.0,3.08,1060.0,344.0,2021.0
T127,T128,Chris Baker,62.0,3.09,667.0,216.0,2021.0
T127,T128,Rickie Fowler,78.0,3.09,977.0,316.0,2021.0
T127,T128,Branden Grace,87.0,3.09,1019.0,330.0,2021.0
T127,T128,Kramer Hickok,71.0,3.09,877.0,284.0,2021.0
T127,T128,K.H. Lee,110.0,3.09,1327.0,430.0,2021.0
T127,T128,Peter Malnati,84.0,3.09,994.0,322.0,2021.0
T127,T128,Rob Oppenheim,80.0,3.09,920.0,298.0,2021.0
T127,T128,Chase Seiffert,84.0,3.09,971.0,314.0,2021.0
