,RANK LAST WEEK,PLAYER NAME,EVENT,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
0,,Will Zalatoris,U.S. Open,4.0,"28' 3""",2033.417,72.0,5 Under
1,,Denny McCarthy,U.S. Open,4.0,"30' 9""",2216.167,72.0,1 Under
2,,Keegan Bradley,U.S. Open,4.0,"31' 7""",2275.0,72.0,1 Under
3,,Chris Gotterup,U.S. Open,4.0,"32' 5""",2334.417,72.0,8 Over
4,,Joel Dahmen,U.S. Open,4.0,"32' 11""",2369.583,72.0,Even
5,,Hideki Matsuyama,U.S. Open,4.0,"33' 7""",2417.167,72.0,3 Under
6,40,Scottie Scheffler,U.S. Open,4.0,"33' 9""",2428.25,72.0,5 Under
7,,Marc Leishman,U.S. Open,4.0,"34' 0""",2446.917,72.0,2 Over
8,,Austin Greaser,U.S. Open,4.0,"34' 11""",2515.417,72.0,17 Over
9,,Collin Morikawa,U.S. Open,4.0,"35' 1""",2528.583,72.0,2 Under
10,T22,Rory McIlroy,U.S. Open,4.0,"35' 2""",2529.5,72.0,2 Under
11,T55,Adam Hadwin,U.S. Open,4.0,"35' 6""",2556.75,72.0,1 Under
12,,Sam Stevens,U.S. Open,4.0,"35' 7""",2559.167,72.0,10 Over
13,,Richard Bland,U.S. Open,4.0,"35' 8""",2567.083,72.0,8 Over
14,52,Matt Fitzpatrick,U.S. Open,4.0,"35' 10""",2581.25,72.0,6 Under
15,,Travis Vick,U.S. Open,4.0,"35' 10""",2579.417,72.0,8 Over
16,T32,Sebastián Muñoz,U.S. Open,4.0,"36' 2""",2605.0,72.0,2 Over
17,,Grayson Murray,U.S. Open,4.0,"36' 3""",2610.417,72.0,18 Over
18,,Hayden Buckley,U.S. Open,4.0,"36' 5""",2624.25,72.0,2 Over
19,,Callum Tarren,U.S. Open,4.0,"36' 5""",2621.5,72.0,6 Over
20,,Dustin Johnson,U.S. Open,4.0,"36' 7""",2632.833,72.0,4 Over
21,,Todd Sinnott,U.S. Open,4.0,"36' 7""",2635.833,72.0,6 Over
22,,Davis Riley,U.S. Open,4.0,"36' 11""",2656.583,72.0,6 Over
23,,Harris English,U.S. Open,4.0,"37' 2""",2674.333,72.0,17 Over
24,,Guido Migliozzi,U.S. Open,4.0,"37' 5""",2655.417,71.0,Even
25,,MJ Daffue,U.S. Open,4.0,"37' 7""",2708.083,72.0,6 Over
26,,Min Woo Lee,U.S. Open,4.0,"37' 8""",2712.417,72.0,5 Over
27,,Matthew NeSmith,U.S. Open,4.0,"38' 3""",2752.25,72.0,7 Over
28,,Jon Rahm,U.S. Open,4.0,"38' 4""",2759.0,72.0,1 Over
29,,Max Homa,U.S. Open,4.0,"38' 5""",2765.083,72.0,9 Over
30,,Sam Bennett,U.S. Open,4.0,"38' 7""",2780.167,72.0,10 Over
31,,Gary Woodland,U.S. Open,4.0,"38' 7""",2775.5,72.0,Even
32,,Joseph Bramlett,U.S. Open,4.0,"38' 8""",2781.917,72.0,7 Over
33,,Cameron Tringale,U.S. Open,4.0,"38' 8""",2784.083,72.0,2 Over
34,,Aaron Wise,U.S. Open,4.0,"38' 9""",2789.833,72.0,5 Over
35,,Wil Besseling,U.S. Open,4.0,"39' 0""",2808.0,72.0,13 Over
36,68,Patrick Rodgers,U.S. Open,4.0,"39' 0""",2810.667,72.0,6 Over
37,,Chris Naegel,U.S. Open,4.0,"39' 5""",2835.083,72.0,13 Over
38,,Adam Schenk,U.S. Open,4.0,"39' 5""",2838.167,72.0,4 Over
39,,Adam Scott,U.S. Open,4.0,"39' 5""",2840.083,72.0,2 Over
40,T16,Justin Thomas,U.S. Open,4.0,"39' 5""",2837.083,72.0,7 Over
41,,Stewart Hagestad,U.S. Open,4.0,"40' 6""",2917.75,72.0,19 Over
42,,Thomas Pieters,U.S. Open,4.0,"40' 8""",2930.833,72.0,5 Over
43,,Joaquin Niemann,U.S. Open,4.0,"40' 10""",2937.333,72.0,9 Over
44,11,Justin Rose,U.S. Open,4.0,"40' 10""",2937.167,72.0,7 Over
45,,Andrew Putnam,U.S. Open,4.0,"41' 0""",2951.333,72.0,6 Over
46,,Brooks Koepka,U.S. Open,4.0,"41' 1""",2960.167,72.0,12 Over
47,,Joohyung Kim,U.S. Open,4.0,"41' 3""",2928.917,71.0,2 Over
48,,Seamus Power,U.S. Open,4.0,"41' 3""",2971.333,72.0,1 Over
49,43,Nick Hardy,U.S. Open,4.0,"41' 4""",2931.75,71.0,1 Under
50,4,Sam Burns,U.S. Open,4.0,"41' 7""",2991.583,72.0,5 Over
51,,Patrick Cantlay,U.S. Open,4.0,"41' 7""",2992.667,72.0,2 Over
52,T16,Mackenzie Hughes,U.S. Open,4.0,"41' 7""",2993.333,72.0,4 Over
53,,David Lingmerth,U.S. Open,4.0,"42' 4""",3046.083,72.0,10 Over
54,,Brandon Matthews,U.S. Open,4.0,"42' 5""",3054.75,72.0,16 Over
55,,Patrick Reed,U.S. Open,4.0,"42' 5""",3056.583,72.0,10 Over
56,,Sebastian Soderberg,U.S. Open,4.0,"42' 8""",3070.667,72.0,11 Over
57,,Xander Schauffele,U.S. Open,4.0,"42' 11""",3090.333,72.0,2 Over
58,,Bryson DeChambeau,U.S. Open,4.0,"43' 0""",3054.667,71.0,11 Over
