,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS,EVENT
0,,Justin Thomas,4,26.75,107,4,24,The Masters
1,,Min Woo Lee,4,27.0,108,4,25,The Masters
2,,Shane Lowry,4,27.25,109,4,25,The Masters
3,,Will Zalatoris,4,27.25,109,4,25,The Masters
4,,Scottie Scheffler,4,27.5,110,4,26,The Masters
5,T19,Si Woo Kim,4,28.0,112,4,26,The Masters
6,T14,Robert MacIntyre,4,28.0,112,4,27,The Masters
7,,Webb Simpson,4,28.0,112,4,27,The Masters
8,,Harold Varner III,4,28.0,112,4,26,The Masters
9,,Hideki Matsuyama,4,28.25,113,4,27,The Masters
10,,Cameron Smith,4,28.25,113,4,24,The Masters
11,,Lee Westwood,4,28.25,113,4,27,The Masters
12,,Danny Willett,4,28.25,113,4,25,The Masters
13,,Talor Gooch,4,28.5,114,4,27,The Masters
14,,Viktor Hovland,4,28.5,114,4,27,The Masters
15,,Jason Kokrak,4,28.5,114,4,28,The Masters
16,,Collin Morikawa,4,28.5,114,4,27,The Masters
17,,Joaquin Niemann,4,28.5,114,4,28,The Masters
18,,Seamus Power,4,28.5,114,4,25,The Masters
19,T58,Corey Conners,4,29.0,116,4,26,The Masters
20,,Sungjae Im,4,29.0,116,4,26,The Masters
21,,Rory McIlroy,4,29.0,116,4,22,The Masters
22,,Patrick Reed,4,29.0,116,4,29,The Masters
23,,Sepp Straka,4,29.0,116,4,26,The Masters
24,,Daniel Berger,4,29.5,118,4,27,The Masters
25,,Dustin Johnson,4,29.5,118,4,27,The Masters
26,,Jon Rahm,4,29.5,118,4,27,The Masters
27,,Christiaan Bezuidenhout,4,29.75,119,4,26,The Masters
28,T8,Lucas Glover,4,29.75,119,4,28,The Masters
29,,Harry Higgs,4,29.75,119,4,27,The Masters
30,T8,J.J. Spaun,4,30.0,120,4,27,The Masters
31,,Matt Fitzpatrick,4,30.25,121,4,28,The Masters
32,,Russell Henley,4,30.25,121,4,28,The Masters
33,,Tom Hoge,4,30.25,121,4,29,The Masters
34,,Billy Horschel,4,30.25,121,4,29,The Masters
35,,Charl Schwartzel,4,30.25,121,4,27,The Masters
36,,Cameron Champ,4,30.5,122,4,28,The Masters
37,,Cam Davis,4,30.5,122,4,29,The Masters
38,T58,Tony Finau,4,30.5,122,4,30,The Masters
39,,Sergio Garcia,4,30.5,122,4,28,The Masters
40,,Max Homa,4,30.5,122,4,28,The Masters
41,,Kevin Kisner,4,30.5,122,4,28,The Masters
42,,Kevin Na,4,30.5,122,4,27,The Masters
43,,Mackenzie Hughes,4,30.75,123,4,27,The Masters
44,T68,Hudson Swafford,4,30.75,123,4,28,The Masters
45,,Bubba Watson,4,30.75,123,4,30,The Masters
46,,Tyrrell Hatton,4,31.0,124,4,29,The Masters
47,,Patrick Cantlay,4,31.25,125,4,28,The Masters
48,,Tommy Fleetwood,4,31.25,125,4,27,The Masters
49,,Adam Scott,4,31.25,125,4,29,The Masters
50,,Tiger Woods,4,31.25,125,4,27,The Masters
51,,Marc Leishman,4,31.5,126,4,30,The Masters
0,,MJ Daffue,4,27.0,108,4,24,U.S. Open
1,T40,Sebastián Muñoz,4,27.75,111,4,27,U.S. Open
2,T46,Scottie Scheffler,4,27.75,111,4,24,U.S. Open
3,,Patrick Cantlay,4,28.0,112,4,27,U.S. Open
4,T55,Adam Hadwin,4,28.25,113,4,26,U.S. Open
5,T22,Mackenzie Hughes,4,28.25,113,4,26,U.S. Open
6,,Brooks Koepka,4,28.25,113,4,24,U.S. Open
7,,Xander Schauffele,4,28.25,113,4,27,U.S. Open
8,,Adam Schenk,4,28.25,113,4,25,U.S. Open
9,,Adam Scott,4,28.25,113,4,26,U.S. Open
10,,Sebastian Soderberg,4,28.25,113,4,26,U.S. Open
11,,Will Zalatoris,4,28.25,113,4,27,U.S. Open
12,,Collin Morikawa,4,28.5,114,4,27,U.S. Open
13,,Andrew Putnam,4,28.5,114,4,26,U.S. Open
14,,Joohyung Kim,4,28.75,115,4,25,U.S. Open
15,,Chris Naegel,4,28.75,115,4,26,U.S. Open
16,,Aaron Wise,4,28.75,115,4,25,U.S. Open
17,T51,Sam Burns,4,29.0,116,4,28,U.S. Open
18,,David Lingmerth,4,29.0,116,4,25,U.S. Open
19,1,Rory McIlroy,4,29.0,116,4,27,U.S. Open
20,,Guido Migliozzi,4,29.0,116,4,28,U.S. Open
21,T46,Nick Hardy,4,29.25,117,4,28,U.S. Open
22,,Dustin Johnson,4,29.25,117,4,24,U.S. Open
23,,Min Woo Lee,4,29.25,117,4,27,U.S. Open
24,,Marc Leishman,4,29.25,117,4,27,U.S. Open
25,,Hideki Matsuyama,4,29.25,117,4,25,U.S. Open
26,,Thomas Pieters,4,29.25,117,4,27,U.S. Open
27,,Davis Riley,4,29.25,117,4,28,U.S. Open
28,,Cameron Tringale,4,29.25,117,4,27,U.S. Open
29,,Travis Vick,4,29.25,117,4,27,U.S. Open
30,,Gary Woodland,4,29.25,117,4,25,U.S. Open
31,,Keegan Bradley,4,29.5,118,4,28,U.S. Open
32,,Chris Gotterup,4,29.5,118,4,28,U.S. Open
33,,Austin Greaser,4,29.5,118,4,27,U.S. Open
34,,Brian Harman,4,29.5,118,4,28,U.S. Open
35,,Brandon Matthews,4,29.5,118,4,27,U.S. Open
36,,Grayson Murray,4,29.5,118,4,25,U.S. Open
37,,Todd Sinnott,4,29.5,118,4,27,U.S. Open
38,,Jordan Spieth,4,29.5,118,4,27,U.S. Open
39,,Patrick Reed,4,29.75,119,4,28,U.S. Open
40,T10,Patrick Rodgers,4,29.75,119,4,28,U.S. Open
41,,Callum Tarren,4,29.75,119,4,26,U.S. Open
