,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,EVENT
0,,Tommy Fleetwood,4,100.0,5,5,-1.00,The Masters
1,,Sergio Garcia,4,100.0,5,5,-2.00,The Masters
2,,Tom Hoge,4,100.0,2,2,-1.00,The Masters
3,,Justin Thomas,4,88.89,8,9,+1.00,The Masters
4,T52,Corey Conners,4,83.33,5,6,-1.00,The Masters
5,,Charl Schwartzel,4,80.0,4,5,E,The Masters
6,T29,Si Woo Kim,4,77.78,7,9,+1.00,The Masters
7,,Viktor Hovland,4,75.0,3,4,+1.00,The Masters
8,,Sungjae Im,4,75.0,6,8,+1.00,The Masters
9,,Cameron Champ,4,71.43,5,7,+2.00,The Masters
10,,Harold Varner III,4,71.43,5,7,+3.00,The Masters
11,,Adam Scott,4,70.0,7,10,+5.00,The Masters
12,,Harry Higgs,4,66.67,2,3,+1.00,The Masters
13,,Shane Lowry,4,66.67,6,9,+3.00,The Masters
14,,Patrick Reed,4,66.67,4,6,+1.00,The Masters
15,,Danny Willett,4,62.5,5,8,+2.00,The Masters
16,,Will Zalatoris,4,62.5,5,8,+4.00,The Masters
17,,Cam Davis,4,60.0,3,5,+3.00,The Masters
18,,Talor Gooch,4,60.0,6,10,+5.00,The Masters
19,,Marc Leishman,4,60.0,3,5,-1.00,The Masters
20,,Rory McIlroy,4,60.0,6,10,+1.00,The Masters
21,,Tiger Woods,4,60.0,3,5,+1.00,The Masters
22,,Matt Fitzpatrick,4,57.14,4,7,+3.00,The Masters
23,T14,Lucas Glover,4,57.14,4,7,+4.00,The Masters
24,,Russell Henley,4,57.14,4,7,E,The Masters
25,,Hideki Matsuyama,4,57.14,4,7,+2.00,The Masters
26,,Sepp Straka,4,57.14,4,7,+3.00,The Masters
27,,Daniel Berger,4,50.0,2,4,+3.00,The Masters
28,,Patrick Cantlay,4,50.0,3,6,+1.00,The Masters
29,,Max Homa,4,50.0,3,6,+5.00,The Masters
30,,Collin Morikawa,4,50.0,3,6,+1.00,The Masters
31,,Scottie Scheffler,4,50.0,3,6,+1.00,The Masters
32,,Cameron Smith,4,50.0,2,4,+2.00,The Masters
33,T57,Hudson Swafford,4,50.0,3,6,+4.00,The Masters
34,,Joaquin Niemann,4,45.45,5,11,+7.00,The Masters
35,,Webb Simpson,4,41.67,5,12,+4.00,The Masters
36,,Tyrrell Hatton,4,40.0,2,5,+2.00,The Masters
37,,Bubba Watson,4,37.5,3,8,+5.00,The Masters
38,,Christiaan Bezuidenhout,4,33.33,2,6,+3.00,The Masters
39,,Kevin Na,4,33.33,1,3,+2.00,The Masters
40,,Seamus Power,4,33.33,2,6,+4.00,The Masters
41,,Billy Horschel,4,28.57,2,7,+4.00,The Masters
42,,Mackenzie Hughes,4,28.57,2,7,+6.00,The Masters
43,T29,Robert MacIntyre,4,28.57,2,7,+4.00,The Masters
44,,Jason Kokrak,4,25.0,1,4,E,The Masters
45,,Min Woo Lee,4,25.0,1,4,+2.00,The Masters
46,,Dustin Johnson,4,16.67,1,6,+2.00,The Masters
47,,Jon Rahm,4,16.67,1,6,+4.00,The Masters
48,,Lee Westwood,4,14.29,1,7,+5.00,The Masters
49,,Kevin Kisner,4,12.5,1,8,+9.00,The Masters
50,T46,Tony Finau,4,0.0,0,3,+3.00,The Masters
51,T18,J.J. Spaun,4,0.0,0,5,+4.00,The Masters
0,,Hayden Buckley,4,100.0,1,1,E,U.S. Open
1,,Joohyung Kim,4,100.0,4,4,E,U.S. Open
2,T11,Rory McIlroy,4,100.0,5,5,E,U.S. Open
3,,Andrew Putnam,4,87.5,7,8,E,U.S. Open
4,,Adam Scott,4,83.33,5,6,+1.00,U.S. Open
5,,Brian Harman,4,80.0,4,5,+1.00,U.S. Open
6,,Min Woo Lee,4,80.0,4,5,+3.00,U.S. Open
7,,Todd Sinnott,4,80.0,8,10,+2.00,U.S. Open
8,,Denny McCarthy,4,75.0,3,4,+1.00,U.S. Open
9,T1,Sam Burns,4,71.43,5,7,+1.00,U.S. Open
10,,Tyrrell Hatton,4,71.43,5,7,+3.00,U.S. Open
11,,Joel Dahmen,4,66.67,2,3,+1.00,U.S. Open
12,T21,Nick Hardy,4,66.67,4,6,+1.00,U.S. Open
13,,Max Homa,4,66.67,4,6,E,U.S. Open
14,,K.H. Lee,4,66.67,4,6,+1.00,U.S. Open
15,,Brandon Matthews,4,66.67,4,6,+1.00,U.S. Open
16,,Thomas Pieters,4,66.67,4,6,+1.00,U.S. Open
17,,Chris Gotterup,4,62.5,5,8,+2.00,U.S. Open
18,,Seamus Power,4,62.5,5,8,+3.00,U.S. Open
19,,Davis Riley,4,62.5,5,8,+3.00,U.S. Open
20,,Sebastian Soderberg,4,62.5,5,8,+3.00,U.S. Open
21,,Travis Vick,4,62.5,5,8,+4.00,U.S. Open
22,,Richard Bland,4,60.0,3,5,+1.00,U.S. Open
23,,Guido Migliozzi,4,60.0,3,5,-1.00,U.S. Open
24,T62,Justin Rose,4,60.0,3,5,+1.00,U.S. Open
25,,Xander Schauffele,4,60.0,3,5,E,U.S. Open
26,,Will Zalatoris,4,60.0,3,5,+2.00,U.S. Open
27,,Keegan Bradley,4,57.14,4,7,+2.00,U.S. Open
28,T21,Adam Hadwin,4,57.14,4,7,+1.00,U.S. Open
29,T14,Sebastián Muñoz,4,57.14,4,7,E,U.S. Open
30,,Chris Naegel,4,57.14,4,7,+2.00,U.S. Open
31,,Joaquin Niemann,4,57.14,4,7,+2.00,U.S. Open
