,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENT
0,,Scottie Scheffler,4,67.645,278,-7.421,4,The Masters
1,,Rory McIlroy,4,68.395,281,-7.421,4,The Masters
2,,Shane Lowry,4,68.895,283,-7.421,4,The Masters
3,,Cameron Smith,4,68.895,283,-7.421,4,The Masters
4,,Collin Morikawa,4,69.145,284,-7.421,4,The Masters
5,T35,Corey Conners,4,69.395,285,-7.421,4,The Masters
6,,Will Zalatoris,4,69.395,285,-7.421,4,The Masters
7,,Sungjae Im,4,69.895,287,-7.421,4,The Masters
8,,Justin Thomas,4,69.895,287,-7.421,4,The Masters
9,,Cameron Champ,4,70.145,288,-7.421,4,The Masters
10,,Charl Schwartzel,4,70.145,288,-7.421,4,The Masters
11,,Dustin Johnson,4,70.395,289,-7.421,4,The Masters
12,,Danny Willett,4,70.395,289,-7.421,4,The Masters
13,,Matt Fitzpatrick,4,70.645,290,-7.421,4,The Masters
14,,Tommy Fleetwood,4,70.645,290,-7.421,4,The Masters
15,,Talor Gooch,4,70.645,290,-7.421,4,The Masters
16,,Harry Higgs,4,70.645,290,-7.421,4,The Masters
17,,Jason Kokrak,4,70.645,290,-7.421,4,The Masters
18,,Min Woo Lee,4,70.645,290,-7.421,4,The Masters
19,,Hideki Matsuyama,4,70.645,290,-7.421,4,The Masters
20,,Kevin Na,4,70.645,290,-7.421,4,The Masters
21,,Lee Westwood,4,70.645,290,-7.421,4,The Masters
22,,Sergio Garcia,4,70.895,291,-7.421,4,The Masters
23,T35,Robert MacIntyre,4,70.895,291,-7.421,4,The Masters
24,1,J.J. Spaun,4,70.895,291,-7.421,4,The Masters
25,,Harold Varner III,4,70.895,291,-7.421,4,The Masters
26,,Viktor Hovland,4,71.145,292,-7.421,4,The Masters
27,,Seamus Power,4,71.145,292,-7.421,4,The Masters
28,,Jon Rahm,4,71.145,292,-7.421,4,The Masters
29,T18,Lucas Glover,4,71.395,293,-7.421,4,The Masters
30,,Russell Henley,4,71.395,293,-7.421,4,The Masters
31,,Marc Leishman,4,71.395,293,-7.421,4,The Masters
32,,Sepp Straka,4,71.395,293,-7.421,4,The Masters
33,T58,Hudson Swafford,4,71.395,293,-7.421,4,The Masters
34,T29,Tony Finau,4,71.645,294,-7.421,4,The Masters
35,,Joaquin Niemann,4,71.645,294,-7.421,4,The Masters
36,,Patrick Reed,4,71.645,294,-7.421,4,The Masters
