,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,EVENT
0,,Shane Lowry,4,73.08,19,26,The Masters
1,,Marc Leishman,4,69.57,16,23,The Masters
2,,Scottie Scheffler,4,69.57,16,23,The Masters
3,,Talor Gooch,4,68.97,20,29,The Masters
4,,Danny Willett,4,68.75,22,32,The Masters
5,,Patrick Cantlay,4,66.67,18,27,The Masters
6,,Matt Fitzpatrick,4,65.38,17,26,The Masters
7,T31,Corey Conners,4,64.0,16,25,The Masters
8,T31,Robert MacIntyre,4,63.89,23,36,The Masters
9,,Cameron Champ,4,63.64,14,22,The Masters
10,,Rory McIlroy,4,63.64,14,22,The Masters
11,,Tommy Fleetwood,4,62.5,15,24,The Masters
12,,Hideki Matsuyama,4,62.5,20,32,The Masters
13,,Seamus Power,4,62.5,20,32,The Masters
14,57,J.J. Spaun,4,61.54,16,26,The Masters
15,,Jason Kokrak,4,60.0,18,30,The Masters
16,,Sepp Straka,4,58.62,17,29,The Masters
17,,Charl Schwartzel,4,58.33,14,24,The Masters
18,,Christiaan Bezuidenhout,4,58.06,18,31,The Masters
19,,Dustin Johnson,4,57.69,15,26,The Masters
20,,Sungjae Im,4,57.14,16,28,The Masters
21,,Webb Simpson,4,57.14,20,35,The Masters
22,,Joaquin Niemann,4,56.25,18,32,The Masters
23,,Justin Thomas,4,56.25,18,32,The Masters
24,T31,Si Woo Kim,4,55.56,20,36,The Masters
25,,Patrick Reed,4,54.84,17,31,The Masters
26,,Will Zalatoris,4,54.84,17,31,The Masters
27,,Sergio Garcia,4,54.55,12,22,The Masters
28,72,Hudson Swafford,4,53.85,14,26,The Masters
29,,Lee Westwood,4,53.33,16,30,The Masters
30,,Harry Higgs,4,52.0,13,25,The Masters
31,,Collin Morikawa,4,52.0,13,25,The Masters
32,,Cameron Smith,4,52.0,13,25,The Masters
33,,Tom Hoge,4,51.61,16,31,The Masters
34,,Jon Rahm,4,51.61,16,31,The Masters
35,,Adam Scott,4,51.61,16,31,The Masters
36,,Viktor Hovland,4,51.52,17,33,The Masters
37,T31,Lucas Glover,4,50.0,13,26,The Masters
38,,Tiger Woods,4,48.48,16,33,The Masters
39,,Cam Davis,4,48.39,15,31,The Masters
40,,Daniel Berger,4,45.71,16,35,The Masters
41,,Min Woo Lee,4,45.16,14,31,The Masters
42,1,Tony Finau,4,44.44,12,27,The Masters
43,,Mackenzie Hughes,4,44.44,16,36,The Masters
44,,Bubba Watson,4,44.44,12,27,The Masters
45,,Russell Henley,4,44.0,11,25,The Masters
46,,Tyrrell Hatton,4,43.33,13,30,The Masters
47,,Harold Varner III,4,41.94,13,31,The Masters
48,,Max Homa,4,39.39,13,33,The Masters
49,,Kevin Na,4,38.1,8,21,The Masters
50,,Kevin Kisner,4,31.25,10,32,The Masters
51,,Billy Horschel,4,28.0,7,25,The Masters
0,,Hideki Matsuyama,4,72.73,16,22,U.S. Open
1,,Andrew Putnam,4,68.75,22,32,U.S. Open
2,,Min Woo Lee,4,67.74,21,31,U.S. Open
3,,David Lingmerth,4,64.86,24,37,U.S. Open
4,,Chris Gotterup,4,64.52,20,31,U.S. Open
5,,Patrick Reed,4,63.64,21,33,U.S. Open
6,,Brian Harman,4,62.5,20,32,U.S. Open
7,,Gary Woodland,4,62.5,15,24,U.S. Open
8,,Todd Sinnott,4,61.29,19,31,U.S. Open
9,T41,Sam Burns,4,60.0,18,30,U.S. Open
10,,Joel Dahmen,4,60.0,12,20,U.S. Open
11,24,Matt Fitzpatrick,4,60.0,12,20,U.S. Open
12,51,Adam Hadwin,4,60.0,18,30,U.S. Open
13,T39,Mackenzie Hughes,4,60.0,21,35,U.S. Open
14,63,Scottie Scheffler,4,60.0,15,25,U.S. Open
15,,Sebastian Soderberg,4,59.46,22,37,U.S. Open
16,T22,Sebastián Muñoz,4,59.38,19,32,U.S. Open
17,,Xander Schauffele,4,59.38,19,32,U.S. Open
18,,Adam Scott,4,59.38,19,32,U.S. Open
19,,Patrick Cantlay,4,58.62,17,29,U.S. Open
20,,Collin Morikawa,4,58.33,14,24,U.S. Open
21,,Joohyung Kim,4,58.06,18,31,U.S. Open
22,,Adam Schenk,4,58.06,18,31,U.S. Open
23,,Aaron Wise,4,57.58,19,33,U.S. Open
24,,Marc Leishman,4,57.14,16,28,U.S. Open
25,,MJ Daffue,4,56.76,21,37,U.S. Open
26,70,Nick Hardy,4,56.0,14,25,U.S. Open
27,,Seamus Power,4,56.0,14,25,U.S. Open
28,,Guido Migliozzi,4,55.56,15,27,U.S. Open
29,,Thomas Pieters,4,55.17,16,29,U.S. Open
30,,Joseph Bramlett,4,54.17,13,24,U.S. Open
31,4,Rory McIlroy,4,54.17,13,24,U.S. Open
32,,Matthew NeSmith,4,53.85,14,26,U.S. Open
33,,Jon Rahm,4,53.85,14,26,U.S. Open
34,,Travis Vick,4,53.57,15,28,U.S. Open
35,,Sam Bennett,4,53.33,16,30,U.S. Open
36,,Beau Hossler,4,53.33,16,30,U.S. Open
37,,Dustin Johnson,4,53.33,16,30,U.S. Open
38,,Joaquin Niemann,4,53.33,16,30,U.S. Open
39,,Brandon Matthews,4,52.63,20,38,U.S. Open
40,,Denny McCarthy,4,52.17,12,23,U.S. Open
41,,Will Zalatoris,4,52.0,13,25,U.S. Open
42,,Chris Naegel,4,51.43,18,35,U.S. Open
43,,K.H. Lee,4,50.0,13,26,U.S. Open
44,13,Justin Thomas,4,50.0,13,26,U.S. Open
45,,Cameron Tringale,4,48.15,13,27,U.S. Open
46,,Keegan Bradley,4,47.83,11,23,U.S. Open
47,,Davis Riley,4,46.67,14,30,U.S. Open
48,52,Patrick Rodgers,4,46.43,13,28,U.S. Open
49,,Callum Tarren,4,46.15,12,26,U.S. Open
50,,Richard Bland,4,44.83,13,29,U.S. Open
51,,Bryson DeChambeau,4,44.83,13,29,U.S. Open
52,,Sam Stevens,4,44.83,13,29,U.S. Open
53,,Austin Greaser,4,44.12,15,34,U.S. Open
54,,Max Homa,4,44.0,11,25,U.S. Open
55,,Grayson Murray,4,43.33,13,30,U.S. Open
56,,Wil Besseling,4,42.86,12,28,U.S. Open
57,,Hayden Buckley,4,42.86,9,21,U.S. Open
58,,Stewart Hagestad,4,42.42,14,33,U.S. Open
59,T39,Justin Rose,4,39.29,11,28,U.S. Open
60,,Harris English,4,37.5,12,32,U.S. Open
61,,Brooks Koepka,4,36.11,13,36,U.S. Open
